type,date,latitude,longitude,gender,age range,self-defined ethnicity,officer-defined ethnicity,legislation,object of search,outcome
Person and Vehicle search,2021-06-01T00:00:00+00:00,51.527286,-0.215815,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-01T00:20:00+00:00,51.47025,-0.068988,Male,over 34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-01T00:29:00+00:00,51.378421,-0.090113,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-01T00:29:00+00:00,51.378421,-0.090113,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-01T00:35:00+00:00,51.378421,-0.090113,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-01T01:05:00+00:00,51.47051,-0.104167,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-01T01:50:00+00:00,51.607565,-0.000127,Male,18-24,Other ethnic group - Any other ethnic group,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-01T01:55:00+00:00,51.607565,-0.000127,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-01T02:00:00+00:00,51.315469,-0.134602,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-01T04:30:00+00:00,51.492838,-0.207076,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-01T07:25:00+00:00,51.49444,-0.234399,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-01T09:25:00+00:00,51.560573,-0.253263,Male,over 34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-01T09:40:00+00:00,51.495926,-0.058769,Male,,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person search,2021-06-01T09:50:00+00:00,51.495926,-0.058769,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person and Vehicle search,2021-06-01T10:00:00+00:00,51.38668,-0.09697,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-01T10:05:00+00:00,51.492529,-0.147839,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
